source_id,jurisdiction,source_type,complexity_proxy,location,stage,overhead,travel,total_hours_or_fee,data_quality,limitations,url_or_reference
CN-LAW-001,CN-Beijing,billing_guideline,criminal_investigation,Beijing,investigation,0,0,2000-20000,fee_schedule_range,"Not real timesheet; government-guided price range only; no effective_nodes metric; location_factor frozen to Beijing; stage frozen to investigation","http://zjfw.beijing.gov.cn/editorUpload/file/20250625/1750833965820044556.pdf"
CN-LAW-002,CN-Beijing,billing_guideline,criminal_trial,Beijing,trial,0,0,2500-20000,fee_schedule_range,"Not real timesheet; government-guided price range only; no effective_nodes metric; location_factor frozen to Beijing; stage frozen to trial","http://zjfw.beijing.gov.cn/editorUpload/file/20250625/1750833965820044556.pdf"
CN-LAW-003,CN-Beijing,billing_guideline,civil_non_property,Beijing,trial,0,0,3000-30000,fee_schedule_range,"Not real timesheet; market-adjusted price range; no effective_nodes metric; location_factor frozen to Beijing; stage frozen to trial","https://www.huichenglawyer.com/pufaku/42149.html"
CN-LAW-004,CN-Shanghai,billing_guideline,general_legal_work,Shanghai,all_stages,0,0,200-3000_per_hour,fee_schedule_range,"Not real timesheet; hourly rate guideline only; no effective_nodes metric; no stage breakdown; no overhead/travel data","https://www.lawtime.cn/ask/question_34291129.html"
CN-LAW-005,CN-Sichuan,billing_guideline,criminal_investigation,Sichuan,investigation,0,0,2000-15000,fee_schedule_range,"Not real timesheet; government-guided price range; no effective_nodes metric; location_factor frozen to Sichuan; stage frozen to investigation","https://m.64365.com/tuwen/aaazmgb/"
CN-LAW-006,CN-Sichuan,billing_guideline,criminal_prosecution,Sichuan,prosecution,0,0,2000-12000,fee_schedule_range,"Not real timesheet; government-guided price range; no effective_nodes metric; location_factor frozen to Sichuan; stage frozen to prosecution","https://m.64365.com/tuwen/aaazmgb/"
CN-LAW-007,CN-Sichuan,billing_guideline,criminal_trial,Sichuan,trial,0,0,3000-30000,fee_schedule_range,"Not real timesheet; government-guided price range; no effective_nodes metric; location_factor frozen to Sichuan; stage frozen to trial","https://m.64365.com/tuwen/aaazmgb/"
CN-LAW-008,CN-Ningbo,billing_guideline,criminal_investigation,Ningbo,investigation,0,0,1500-8000,fee_schedule_range,"Not real timesheet; government-guided price range; no effective_nodes metric; location_factor frozen to Ningbo; stage frozen to investigation","https://www.66law.cn/question/answer/72834411.html"
CN-LAW-009,CN-Ningbo,billing_guideline,criminal_prosecution,Ningbo,prosecution,0,0,1500-10000,fee_schedule_range,"Not real timesheet; government-guided price range; no effective_nodes metric; location_factor frozen to Ningbo; stage frozen to prosecution","https://www.66law.cn/question/answer/72834411.html"
CN-LAW-010,CN-Ningbo,billing_guideline,criminal_trial,Ningbo,trial,0,0,2500-25000,fee_schedule_range,"Not real timesheet; government-guided price range; no effective_nodes metric; location_factor frozen to Ningbo; stage frozen to trial","https://www.66law.cn/question/answer/72834411.html"
CN-LAW-011,CN-Qinhuangdao,billing_guideline,civil_non_property,Qinhuangdao,trial,0,0,3000-30000,fee_schedule_range,"Not real timesheet; market-adjusted price range; no effective_nodes metric; location_factor frozen to Qinhuangdao; stage frozen to trial","https://www.lawparks.com/ask/qinhuangdao-lawyer-fee-in-2024"
CN-LAW-012,CN-Hebei,billing_guideline,civil_property_100k,Hebei,trial,0,0,8000,fee_schedule_range,"Not real timesheet; government-guided price at 8% of 100k; no effective_nodes metric; location_factor frozen to Hebei; stage frozen to trial","https://www.lawparks.com/ask/qinhuangdao-lawyer-fee-in-2024"
CN-LAW-013,CN-Beijing,fee_award,legal_aid_civil_trial,Beijing,trial,0,0,3850,fee_award_fixed,"Not real timesheet; legal aid subsidy (fee award to lawyer); fixed amount per case; no effective_nodes metric; no overhead/travel breakdown","https://sfj.beijing.gov.cn/sfj/zwgk/2024zcwj/436466584/2024061411123279228.pdf"
CN-LAW-014,CN-Beijing,fee_award,legal_aid_labor_arbitration,Beijing,arbitration,0,0,3850,fee_award_fixed,"Not real timesheet; legal aid subsidy (fee award to lawyer); fixed amount per case; no effective_nodes metric; no overhead/travel breakdown","https://sfj.beijing.gov.cn/sfj/zwgk/2024zcwj/436466584/2024061411123279228.pdf"
CN-LAW-015,CN-Tianjin-Haidian,fee_award,legal_aid_criminal_investigation,Tianjin-Haidian,investigation,0,0,1500,fee_award_fixed,"Not real timesheet; legal aid subsidy; fixed amount per case; no effective_nodes metric; no overhead/travel breakdown","https://www.tjhd.gov.cn/zwgk/zcwj/bdwwj/qsfj1/202601/W020260104554371250413.pdf"
CN-LAW-016,CN-Tianjin-Haidian,fee_award,legal_aid_criminal_prosecution,Tianjin-Haidian,prosecution,0,0,1500,fee_award_fixed,"Not real timesheet; legal aid subsidy; fixed amount per case; no effective_nodes metric; no overhead/travel breakdown","https://www.tjhd.gov.cn/zwgk/zcwj/bdwwj/qsfj1/202601/W020260104554371250413.pdf"
CN-LAW-017,CN-Tianjin-Haidian,fee_award,legal_aid_criminal_trial,Tianjin-Haidian,trial,0,0,2900,fee_award_fixed,"Not real timesheet; legal aid subsidy; fixed amount per case; no effective_nodes metric; no overhead/travel breakdown","https://www.tjhd.gov.cn/zwgk/zcwj/bdwwj/qsfj1/202601/W020260104554371250413.pdf"
CN-LAW-018,CN-Tianjin-Haidian,fee_award,legal_aid_criminal_death_review,Tianjin-Haidian,death_review,0,0,3500,fee_award_fixed,"Not real timesheet; legal aid subsidy; fixed amount per case; no effective_nodes metric; no overhead/travel breakdown","https://www.tjhd.gov.cn/zwgk/zcwj/bdwwj/qsfj1/202601/W020260104554371250413.pdf"
CN-LAW-019,CN-Tianjin-Haidian,fee_award,legal_aid_civil_trial,Tianjin-Haidian,trial,0,0,3500,fee_award_fixed,"Not real timesheet; legal aid subsidy; fixed amount per case; no effective_nodes metric; no overhead/travel breakdown","https://www.tjhd.gov.cn/zwgk/zcwj/bdwwj/qsfj1/202601/W020260104554371250413.pdf"
CN-LAW-020,CN-Tianjin-Haidian,fee_award,legal_aid_labor_arbitration,Tianjin-Haidian,arbitration,0,0,2500,fee_award_fixed,"Not real timesheet; legal aid subsidy; fixed amount per case; no effective_nodes metric; no overhead/travel breakdown","https://www.tjhd.gov.cn/zwgk/zcwj/bdwwj/qsfj1/202601/W020260104554371250413.pdf"
CN-LAW-021,CN-Tianjin-Haidian,fee_award,legal_aid_civil_execution,Tianjin-Haidian,execution,0,0,1500,fee_award_fixed,"Not real timesheet; legal aid subsidy; fixed amount per case; no effective_nodes metric; no overhead/travel breakdown","https://www.tjhd.gov.cn/zwgk/zcwj/bdwwj/qsfj1/202601/W020260104554371250413.pdf"
CN-LAW-022,CN-Ganzhou,fee_award,legal_aid_criminal_investigation_local,Ganzhou,investigation,400,0,1000,fee_award_fixed,"Not real timesheet; legal aid subsidy with direct expense overhead; fixed amount per case; no effective_nodes metric; travel=0 for local","https://www.zgq.gov.cn/zgqzf/c120191/202508/bdac18622bdc472ab880d8c29418d9ad.shtml"
CN-LAW-023,CN-Ganzhou,fee_award,legal_aid_criminal_prosecution_local,Ganzhou,prosecution,400,0,1000,fee_award_fixed,"Not real timesheet; legal aid subsidy with direct expense overhead; fixed amount per case; no effective_nodes metric; travel=0 for local","https://www.zgq.gov.cn/zgqzf/c120191/202508/bdac18622bdc472ab880d8c29418d9ad.shtml"
CN-LAW-024,CN-Ganzhou,fee_award,legal_aid_criminal_trial_local,Ganzhou,trial,500,0,1200,fee_award_fixed,"Not real timesheet; legal aid subsidy with direct expense overhead; fixed amount per case; no effective_nodes metric; travel=0 for local","https://www.zgq.gov.cn/zgqzf/c120191/202508/bdac18622bdc472ab880d8c29418d9ad.shtml"
CN-LAW-025,CN-Ganzhou,fee_award,legal_aid_criminal_cross_region,Ganzhou,trial,500,450,1650,fee_award_fixed,"Not real timesheet; legal aid subsidy with direct expense overhead and travel supplement; travel supplement estimated as 450 (1650-1200); no effective_nodes metric","https://www.zgq.gov.cn/zgqzf/c120191/202508/bdac18622bdc472ab880d8c29418d9ad.shtml"
CN-LAW-026,CN-Ganzhou,fee_award,legal_aid_civil_local,Ganzhou,trial,500,0,1400,fee_award_fixed,"Not real timesheet; legal aid subsidy with direct expense overhead; fixed amount per case; no effective_nodes metric; travel=0 for local","https://www.zgq.gov.cn/zgqzf/c120191/202508/bdac18622bdc472ab880d8c29418d9ad.shtml"
CN-LAW-027,CN-Ganzhou,fee_award,legal_aid_civil_cross_region,Ganzhou,trial,500,500,1900,fee_award_fixed,"Not real timesheet; legal aid subsidy with direct expense overhead and travel supplement; travel supplement estimated as 500 (1900-1400); no effective_nodes metric","https://www.zgq.gov.cn/zgqzf/c120191/202508/bdac18622bdc472ab880d8c29418d9ad.shtml"
CN-LAW-028,CN-Ganzhou,fee_award,legal_aid_execution_local,Ganzhou,execution,400,0,500,fee_award_fixed,"Not real timesheet; legal aid subsidy with direct expense overhead; fixed amount per case; no effective_nodes metric; travel=0 for local","https://www.zgq.gov.cn/zgqzf/c120191/202508/bdac18622bdc472ab880d8c29418d9ad.shtml"
CN-LAW-029,CN-Ganzhou,fee_award,legal_aid_execution_cross_region,Ganzhou,execution,400,300,800,fee_award_fixed,"Not real timesheet; legal aid subsidy with direct expense overhead and travel supplement; travel supplement estimated as 300 (800-500); no effective_nodes metric","https://www.zgq.gov.cn/zgqzf/c120191/202508/bdac18622bdc472ab880d8c29418d9ad.shtml"
CN-LAW-030,CN-Tibet,fee_award,legal_aid_criminal_investigation,Tibet,investigation,0,0,570-850,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://sft.xizang.gov.cn/xwzx/gsgg/202409/W020240926685207862708.pdf"
CN-LAW-031,CN-Tibet,fee_award,legal_aid_criminal_prosecution,Tibet,prosecution,0,0,900-1360,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://sft.xizang.gov.cn/xwzx/gsgg/202409/W020240926685207862708.pdf"
CN-LAW-032,CN-Tibet,fee_award,legal_aid_criminal_trial,Tibet,trial,0,0,1150-1700,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://sft.xizang.gov.cn/xwzx/gsgg/202409/W020240926685207862708.pdf"
CN-LAW-033,CN-Tibet,fee_award,legal_aid_civil_trial,Tibet,trial,0,0,1270-1900,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://sft.xizang.gov.cn/xwzx/gsgg/202409/W020240926685207862708.pdf"
CN-LAW-034,CN-Shaanxi,fee_award,legal_aid_criminal_local,Shaanxi,trial,0,0,1500-3000,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown; stage not fully broken down","https://www.shaanxi.gov.cn/zfxxgk/zfgb/2024/d5q/202403/P020240401591084116588.pdf"
CN-LAW-035,CN-Shaanxi,fee_award,legal_aid_civil_local,Shaanxi,trial,0,0,2000-3000,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown; stage not fully broken down","https://www.shaanxi.gov.cn/zfxxgk/zfgb/2024/d5q/202403/P020240401591084116588.pdf"
CN-LAW-036,CN-Shaanxi,fee_award,legal_aid_criminal_cross_city,Shaanxi,trial,0,0,2500-4000,fee_award_range,"Not real timesheet; legal aid subsidy range with location supplement; no effective_nodes metric; no overhead/travel breakdown; stage not fully broken down","https://www.shaanxi.gov.cn/zfxxgk/zfgb/2024/d5q/202403/P020240401591084116588.pdf"
CN-LAW-037,CN-Shaanxi,fee_award,legal_aid_civil_cross_city,Shaanxi,trial,0,0,3000-4500,fee_award_range,"Not real timesheet; legal aid subsidy range with location supplement; no effective_nodes metric; no overhead/travel breakdown; stage not fully broken down","https://www.shaanxi.gov.cn/zfxxgk/zfgb/2024/d5q/202403/P020240401591084116588.pdf"
CN-LAW-038,CN-Shaanxi,fee_award,legal_aid_cross_province_max,Shaanxi,trial,0,0,8000,fee_award_fixed,"Not real timesheet; legal aid subsidy cap for cross-province; no effective_nodes metric; no overhead/travel breakdown; stage not fully broken down","https://www.shaanxi.gov.cn/zfxxgk/zfgb/2024/d5q/202403/P020240401591084116588.pdf"
CN-LAW-039,CN-Hengyang,fee_award,legal_aid_criminal_investigation,Hengyang,investigation,0,0,600-1300,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://www.hys.gov.cn/zfxxgk/c112143/1719206743832338432/nAODlKmr.pdf"
CN-LAW-040,CN-Hengyang,fee_award,legal_aid_criminal_prosecution,Hengyang,prosecution,0,0,700-1900,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://www.hys.gov.cn/zfxxgk/c112143/1719206743832338432/nAODlKmr.pdf"
CN-LAW-041,CN-Hengyang,fee_award,legal_aid_criminal_trial,Hengyang,trial,0,0,1500-2700,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://www.hys.gov.cn/zfxxgk/c112143/1719206743832338432/nAODlKmr.pdf"
CN-LAW-042,CN-Hengyang,fee_award,legal_aid_civil_trial,Hengyang,trial,0,0,1500-3000,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://www.hys.gov.cn/zfxxgk/c112143/1719206743832338432/nAODlKmr.pdf"
CN-LAW-043,CN-Hengyang,fee_award,legal_aid_execution,Hengyang,execution,0,0,800-1800,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://www.hys.gov.cn/zfxxgk/c112143/1719206743832338432/nAODlKmr.pdf"
CN-LAW-044,CN-Hongjiang,fee_award,legal_aid_criminal,Hongjiang,trial,0,0,1500-2500,fee_award_range,"Not real timesheet; legal aid subsidy range from actual payment公示; no effective_nodes metric; no overhead/travel breakdown","https://www.hjs.gov.cn/hjs/c124312/202511/be4588a364ae4570b337fc4fa0254177.shtml"
CN-LAW-045,CN-Hongjiang,fee_award,legal_aid_civil,Hongjiang,trial,0,0,1500-2000,fee_award_range,"Not real timesheet; legal aid subsidy range from actual payment公示; no effective_nodes metric; no overhead/travel breakdown","https://www.hjs.gov.cn/hjs/c124312/202511/be4588a364ae4570b337fc4fa0254177.shtml"
CN-LAW-046,CN-Hulunbuir,fee_award,legal_aid_aggregate,Hulunbuir,all_stages,0,0,631_avg,fee_award_aggregate,"Not real timesheet; aggregate subsidy 9.53万/151 cases; no per-case breakdown; no effective_nodes metric; no stage/overhead/travel breakdown","https://sfj.hlbe.gov.cn/News/show/1317069.html"
CN-LAW-047,CN-Baotou,fee_award,legal_aid_criminal,Baotou,trial,0,0,800-1600,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://www.baotou.gov.cn/zfxxgk/fdzdgknr/fd_zcwj/202510/W020251015380952463282.doc"
CN-LAW-048,CN-Baotou,fee_award,legal_aid_civil,Baotou,trial,0,0,1000-1800,fee_award_range,"Not real timesheet; legal aid subsidy range; no effective_nodes metric; no overhead/travel breakdown","https://www.baotou.gov.cn/zfxxgk/fdzdgknr/fd_zcwj/202510/W020251015380952463282.doc"
CN-LAW-049,CN-Baotou,fee_award,legal_aid_duty_lawyer_daily,Baotou,consultation,0,0,200-500_per_day,fee_award_range,"Not real timesheet; daily subsidy for duty lawyer; no effective_nodes metric; no overhead/travel breakdown","https://www.baotou.gov.cn/zfxxgk/fdzdgknr/fd_zcwj/202510/W020251015380952463282.doc"
CN-COURT-001,CN-National,court_fee_schedule,property_case_10k,National,trial,0,0,50,fee_schedule_fixed,"Court litigation fee (not lawyer fee); no effective_nodes metric; no location/stage/overhead/travel variation","https://xzfg.moj.gov.cn/front/law/detail?LawID=1555"
CN-COURT-002,CN-National,court_fee_schedule,property_case_100k,National,trial,0,0,2300,fee_schedule_fixed,"Court litigation fee (not lawyer fee); no effective_nodes metric; no location/stage/overhead/travel variation","https://xzfg.moj.gov.cn/front/law/detail?LawID=1555"
CN-COURT-003,CN-National,court_fee_schedule,property_case_500k,National,trial,0,0,8800,fee_schedule_fixed,"Court litigation fee (not lawyer fee); no effective_nodes metric; no location/stage/overhead/travel variation","https://xzfg.moj.gov.cn/front/law/detail?LawID=1555"
CN-COURT-004,CN-National,court_fee_schedule,property_case_1m,National,trial,0,0,13800,fee_schedule_fixed,"Court litigation fee (not lawyer fee); no effective_nodes metric; no location/stage/overhead/travel variation","https://xzfg.moj.gov.cn/front/law/detail?LawID=1555"
CN-COURT-005,CN-National,court_fee_schedule,divorce_case,National,trial,0,0,50-300,fee_schedule_range,"Court litigation fee (not lawyer fee); no effective_nodes metric; no location/stage/overhead/travel variation","https://xzfg.moj.gov.cn/front/law/detail?LawID=1555"
CN-COURT-006,CN-National,court_fee_schedule,labor_dispute,National,trial,0,0,10,fee_schedule_fixed,"Court litigation fee (not lawyer fee); no effective_nodes metric; no location/stage/overhead/travel variation","https://xzfg.moj.gov.cn/front/law/detail?LawID=1555"
US-FEE-001,US-Nevada,fee_award,civil_rights_litigation,Nevada,trial,0,0,91645_total,fee_award_actual,"Real fee award from federal court but aggregate total only; hourly rate $250; hours reduced by 62.92; no effective_nodes metric; no location/stage/overhead/travel breakdown per dimension","https://www.sterlinganalytics.com/federal-court-reduces-fee-award-for-billing-at-quarter-hour-increments/"
US-FEE-002,US-North-Carolina,billing_guideline,partition_action,NC,trial,0,0,200-400_per_hour,billing_guideline_range,"Not real timesheet; hourly rate guideline only; no effective_nodes metric; no stage/overhead/travel breakdown","https://piercelaw.com/news/probate-question-and-answer/"
US-FEE-003,US-Federal,billing_guideline,civil_rights_EAJA,Federal,trial,0,0,125_per_hour_cap,billing_guideline_fixed,"Not real timesheet; statutory hourly rate cap; no effective_nodes metric; no stage/overhead/travel breakdown","https://www.everycrsreport.com/reports/94-970.html"
US-FEE-004,US-Oregon,billing_guideline,general_litigation,Oregon,trial,0,0,refer_to_OSB_survey,billing_guideline_reference,"Not real timesheet; reference to state bar economic survey; no specific numbers; no effective_nodes metric; no stage/overhead/travel breakdown","https://ord.uscourts.gov/index.php/rules-orders-and-notices/local-rules/civil-procedure/1805-lr-54-bill-of-costs-and-attorney-fees"
US-FEE-005,US-Federal,billing_guideline,procurement_protest,Federal,trial,0,0,150_per_hour_cap,billing_guideline_fixed,"Not real timesheet; statutory hourly rate cap; no effective_nodes metric; no stage/overhead/travel breakdown","https://www.everycrsreport.com/reports/94-970.html"
